nombre,proposition,verite
0,0,0
1,0,0
2,0,0
3,0,0
4,1,1
5,0,0
6,1,1
7,0,0
8,1,1
9,1,1
10,1,1
11,0,0
12,1,1
13,0,0
14,1,1
15,1,1
16,1,1
17,0,0
18,1,1
19,0,0
20,1,1
21,1,1
22,1,1
23,0,0
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,0,0
30,1,1
31,0,0
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,0,0
38,1,1
39,1,1
40,1,1
41,0,0
42,1,1
43,0,0
44,1,1
45,1,1
46,1,1
47,0,0
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,0,0
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,0,0
60,1,1
61,0,0
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,0,0
68,1,1
69,1,1
70,1,1
71,0,0
72,1,1
73,0,0
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,0,0
80,1,1
81,1,1
82,1,1
83,0,0
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,0,0
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,0,0
98,1,1
99,1,1
100,1,1
101,0,0
102,1,1
103,0,0
104,1,1
105,1,1
106,1,1
107,0,0
108,1,1
109,0,0
110,1,1
111,1,1
112,1,1
113,0,0
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,0,0
128,1,1
129,1,1
130,1,1
131,0,0
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,0,0
138,1,1
139,0,0
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,0,0
150,1,1
151,0,0
152,1,1
153,1,1
154,1,1
155,1,1
156,1,1
157,0,0
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,0,0
164,1,1
165,1,1
166,1,1
167,0,0
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,0,0
174,1,1
175,1,1
176,1,1
177,1,1
178,1,1
179,0,0
180,1,1
181,0,0
182,1,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,0,0
192,1,1
193,0,0
194,1,1
195,1,1
196,1,1
197,0,0
198,1,1
199,0,0
200,1,1
201,1,1
202,1,1
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
208,1,1
209,1,1
210,1,1
211,0,0
212,1,1
213,1,1
214,1,1
215,1,1
216,1,1
217,1,1
218,1,1
219,1,1
220,1,1
221,1,1
222,1,1
223,0,0
224,1,1
225,1,1
226,1,1
227,0,0
228,1,1
229,0,0
230,1,1
231,1,1
232,1,1
233,0,0
234,1,1
235,1,1
236,1,1
237,1,1
238,1,1
239,0,0
240,1,1
241,0,0
242,1,1
243,1,1
244,1,1
245,1,1
246,1,1
247,1,1
248,1,1
249,1,1
250,1,1
251,0,0
252,1,1
253,1,1
254,1,1
255,1,1
256,1,1
257,0,0
258,1,1
259,1,1
260,1,1
261,1,1
262,1,1
263,0,0
264,1,1
265,1,1
266,1,1
267,1,1
268,1,1
269,0,0
270,1,1
271,0,0
272,1,1
273,1,1
274,1,1
275,1,1
276,1,1
277,0,0
278,1,1
279,1,1
280,1,1
281,0,0
282,1,1
283,0,0
284,1,1
285,1,1
286,1,1
287,1,1
288,1,1
289,1,1
290,1,1
291,1,1
292,1,1
293,0,0
294,1,1
295,1,1
296,1,1
297,1,1
298,1,1
299,1,1
300,1,1
301,1,1
302,1,1
303,1,1
304,1,1
305,1,1
306,1,1
307,0,0
308,1,1
309,1,1
310,1,1
311,0,0
312,1,1
313,0,0
314,1,1
315,1,1
316,1,1
317,0,0
318,1,1
319,1,1
320,1,1
321,1,1
322,1,1
323,1,1
324,1,1
325,1,1
326,1,1
327,1,1
328,1,1
329,1,1
330,1,1
331,0,0
332,1,1
333,1,1
334,1,1
335,1,1
336,1,1
337,0,0
338,1,1
339,1,1
340,1,1
341,1,1
342,1,1
343,1,1
344,1,1
345,1,1
346,1,1
347,0,0
348,1,1
349,0,0
350,1,1
351,1,1
352,1,1
353,0,0
354,1,1
355,1,1
356,1,1
357,1,1
358,1,1
359,0,0
360,1,1
361,1,1
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
367,0,0
368,1,1
369,1,1
370,1,1
371,1,1
372,1,1
373,0,0
374,1,1
375,1,1
376,1,1
377,1,1
378,1,1
379,0,0
380,1,1
381,1,1
382,1,1
383,0,0
384,1,1
385,1,1
386,1,1
387,1,1
388,1,1
389,0,0
390,1,1
391,1,1
392,1,1
393,1,1
394,1,1
395,1,1
396,1,1
397,0,0
398,1,1
399,1,1
400,1,1
401,0,0
402,1,1
403,1,1
404,1,1
405,1,1
406,1,1
407,1,1
408,1,1
409,0,0
410,1,1
411,1,1
412,1,1
413,1,1
414,1,1
415,1,1
416,1,1
417,1,1
418,1,1
419,0,0
420,1,1
421,0,0
422,1,1
423,1,1
424,1,1
425,1,1
426,1,1
427,1,1
428,1,1
429,1,1
430,1,1
431,0,0
432,1,1
433,0,0
434,1,1
435,1,1
436,1,1
437,1,1
438,1,1
439,0,0
440,1,1
441,1,1
442,1,1
443,0,0
444,1,1
445,1,1
446,1,1
447,1,1
448,1,1
449,0,0
450,1,1
451,1,1
452,1,1
453,1,1
454,1,1
455,1,1
456,1,1
457,0,0
458,1,1
459,1,1
460,1,1
461,0,0
462,1,1
463,0,0
464,1,1
465,1,1
466,1,1
467,0,0
468,1,1
469,1,1
470,1,1
471,1,1
472,1,1
473,1,1
474,1,1
475,1,1
476,1,1
477,1,1
478,1,1
479,0,0
480,1,1
481,1,1
482,1,1
483,1,1
484,1,1
485,1,1
486,1,1
487,0,0
488,1,1
489,1,1
490,1,1
491,0,0
492,1,1
493,1,1
494,1,1
495,1,1
496,1,1
497,1,1
498,1,1
499,0,0
500,1,1
501,1,1
502,1,1
503,0,0
504,1,1
505,1,1
506,1,1
507,1,1
508,1,1
509,0,0
510,1,1
511,1,1
512,1,1
513,1,1
514,1,1
515,1,1
516,1,1
517,1,1
518,1,1
519,1,1
520,1,1
521,0,0
522,1,1
523,0,0
524,1,1
525,1,1
526,1,1
527,1,1
528,1,1
529,1,1
530,1,1
531,1,1
532,1,1
533,1,1
534,1,1
535,1,1
536,1,1
537,1,1
538,1,1
539,1,1
540,1,1
541,0,0
542,1,1
543,1,1
544,1,1
545,1,1
546,1,1
547,0,0
548,1,1
549,1,1
550,1,1
551,1,1
552,1,1
553,1,1
554,1,1
555,1,1
556,1,1
557,0,0
558,1,1
559,1,1
560,1,1
561,1,1
562,1,1
563,0,0
564,1,1
565,1,1
566,1,1
567,1,1
568,1,1
569,0,0
570,1,1
