nombre,proposition,verite
2048,1,1
2049,1,1
2050,1,1
2051,1,1
2052,1,1
2053,1,0
2054,1,1
2055,1,1
2056,1,1
2057,1,1
2058,1,1
2059,1,1
2060,1,1
2061,1,1
2062,1,1
2063,1,0
2064,1,1
2065,0,1
2066,1,1
2067,1,1
2068,0,1
2069,0,0
2070,1,1
2071,1,1
2072,0,1
2073,1,1
2074,0,1
2075,0,1
2076,1,1
2077,1,1
2078,1,1
2079,1,1
2080,1,1
2081,1,0
2082,1,1
2083,1,0
2084,0,1
2085,1,1
2086,1,1
2087,1,0
2088,0,1
2089,1,0
2090,1,1
2091,1,1
2092,1,1
2093,1,1
2094,1,1
2095,1,1
2096,1,1
2097,1,1
2098,1,1
2099,1,0
2100,0,1
2101,1,1
2102,1,1
2103,0,1
2104,1,1
2105,1,1
2106,1,1
2107,1,1
2108,1,1
2109,1,1
2110,1,1
2111,1,0
2112,1,1
2113,1,0
2114,1,1
2115,1,1
2116,0,1
2117,0,1
2118,1,1
2119,1,1
2120,1,1
2121,1,1
2122,1,1
2123,1,1
2124,1,1
2125,1,1
2126,0,1
2127,1,1
2128,1,1
2129,1,0
2130,1,1
2131,1,0
2132,0,1
2133,1,1
2134,1,1
2135,1,1
2136,1,1
2137,1,0
2138,1,1
2139,1,1
2140,1,1
2141,1,0
2142,1,1
2143,1,0
2144,1,1
2145,1,1
2146,1,1
2147,1,1
2148,1,1
2149,0,1
2150,0,1
2151,1,1
2152,1,1
2153,1,0
2154,1,1
2155,1,1
2156,1,1
2157,1,1
2158,1,1
2159,1,1
2160,0,1
2161,1,0
2162,1,1
2163,1,1
2164,1,1
2165,1,1
2166,1,1
2167,1,1
2168,1,1
2169,1,1
2170,1,1
2171,1,1
2172,1,1
2173,1,1
2174,0,1
2175,1,1
2176,1,1
2177,1,1
2178,1,1
2179,1,0
2180,1,1
2181,1,1
2182,1,1
2183,1,1
2184,1,1
2185,1,1
2186,0,1
2187,0,1
2188,1,1
2189,1,1
2190,1,1
2191,0,1
2192,1,1
2193,1,1
2194,1,1
2195,1,1
2196,1,1
2197,1,1
2198,1,1
2199,1,1
2200,1,1
2201,1,1
2202,1,1
2203,1,0
2204,0,1
2205,1,1
2206,1,1
2207,1,0
2208,1,1
2209,0,1
2210,1,1
2211,0,1
2212,1,1
2213,1,0
2214,0,1
2215,1,1
2216,1,1
2217,1,1
2218,1,1
2219,1,1
2220,0,1
2221,1,0
2222,0,1
2223,1,1
2224,1,1
2225,1,1
2226,1,1
2227,1,1
2228,0,1
2229,1,1
2230,1,1
2231,1,1
2232,1,1
2233,1,1
2234,1,1
2235,0,1
2236,0,1
2237,1,0
2238,1,1
2239,1,0
2240,1,1
2241,1,1
2242,0,1
2243,1,0
2244,1,1
2245,1,1
2246,1,1
2247,0,1
2248,1,1
2249,1,1
2250,0,1
2251,1,0
2252,0,1
2253,1,1
2254,1,1
2255,1,1
2256,1,1
2257,1,1
2258,1,1
2259,1,1
2260,0,1
2261,1,1
2262,1,1
2263,1,1
2264,1,1
2265,1,1
2266,1,1
2267,1,0
2268,0,1
2269,1,0
2270,1,1
2271,1,1
2272,1,1
2273,1,0
2274,1,1
2275,1,1
2276,1,1
2277,1,1
2278,1,1
2279,1,1
2280,1,1
2281,1,0
2282,1,1
2283,1,1
2284,1,1
2285,1,1
2286,1,1
2287,1,0
2288,1,1
2289,1,1
2290,0,1
2291,1,1
2292,1,1
2293,1,0
2294,1,1
2295,1,1
2296,1,1
2297,1,0
2298,1,1
2299,1,1
2300,0,1
2301,1,1
2302,1,1
2303,1,1
2304,1,1
2305,1,1
2306,1,1
2307,1,1
2308,0,1
2309,1,0
2310,0,1
